Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
21,"A Hora, R Robbes, MT Valente, N Anquetil, ...",How do developers react to API evolution? A large-scale empirical study,2018,Software Quality …,Springer,https://link.springer.com/article/10.1007/s11219-016-9344-4,"https://scholar.google.com/scholar?cites=14363656528561299775&as_sdt=2005&sciodt=0,5&hl=en",11,25-01-21,,,,,,,,,21,7,4,5,3
260,"T McDonnell, B Ray, M Kim",An empirical study of api stability and adoption in the android ecosystem,2013,2013 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6676878/,"https://scholar.google.com/scholar?cites=1434574070242772460&as_sdt=2005&sciodt=0,5&hl=en",12,25-01-21,,,,,,,,,260,32.5,87,3,8
51,JH Perkins,Automatically generating refactorings to support API evolution,2005,proceedings of the 6th ACM SIGPLAN-SIGSOFT …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1108792.1108818,"https://scholar.google.com/scholar?cites=8607756286562506530&as_sdt=2005&sciodt=0,5&hl=en",13,25-01-21,,,,,,,,,51,3.19,51,1,16
63,"T Espinha, A Zaidman, HG Gross",Web API growing pains: Stories from client developers and their code,2014,2014 Software Evolution …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6747228/,"https://scholar.google.com/scholar?cites=13027862897543623728&as_sdt=2005&sciodt=0,5&hl=en",14,25-01-21,,,,,,,,,63,9,21,3,7
52,"L Shi, H Zhong, T Xie, M Li",An empirical study on evolution of API documentation,2011,International Conference on Fundamental …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-19811-3_29,"https://scholar.google.com/scholar?cites=11833071208885814926&as_sdt=2005&sciodt=0,5&hl=en",15,25-01-21,,,,,,,,,52,5.2,13,4,10
55,"T Espinha, A Zaidman, HG Gross",Web API growing pains: Loosely coupled yet strongly tied,2015,Journal of Systems and Software,Elsevier,https://www.sciencedirect.com/science/article/pii/S0164121214002180,"https://scholar.google.com/scholar?cites=16689341631466121797&as_sdt=2005&sciodt=0,5&hl=en",16,25-01-21,,,,,,,,,55,9.17,18,3,6
12,"W Wu, A Serveaux, YG Guéhéneuc, ...",The impact of imperfect change rules on framework api evolution identification: an empirical study,2015,Empirical Software …,Springer,https://link.springer.com/article/10.1007/s10664-014-9317-9,"https://scholar.google.com/scholar?cites=15861154249887805276&as_sdt=2005&sciodt=0,5&hl=en",17,25-01-21,,,,,,,,,12,2,3,4,6
38,"AA Sawant, A Bacchelli",A dataset for API usage,2015,2015 IEEE/ACM 12th Working …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7180129/,"https://scholar.google.com/scholar?cites=17224583472752602206&as_sdt=2005&sciodt=0,5&hl=en",18,25-01-21,,,,,,,,,38,6.33,19,2,6
5,"K Jezek, J Dietrich",API Evolution and Compatibility: A Data Corpus and Tool Evaluation.,2017,J. Object Technol.,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/4e2c/ac88e2dbd6bca651a06064cb896626ca792e.pdf,"https://scholar.google.com/scholar?cites=15516897616503116220&as_sdt=2005&sciodt=0,5&hl=en",19,25-01-21,PDF,,,,,,,,5,1.25,3,2,4
4,"W Granli, J Burchell, I Hammouda, ...",The driving forces of API evolution,2015,Proceedings of the 14th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2804360.2804364,"https://scholar.google.com/scholar?cites=16296226023206067053&as_sdt=2005&sciodt=0,5&hl=en",20,25-01-21,,,,,,,,,4,0.67,1,4,6
148,"M Kim, D Cai, S Kim",An empirical investigation into the role of API-level refactorings during software evolution,2011,Proceedings of the 33rd International Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1985793.1985815,"https://scholar.google.com/scholar?cites=11961257933387004871&as_sdt=2005&sciodt=0,5&hl=en",21,25-01-21,,,,,,,,,148,14.8,49,3,10
5,"A Abelló Gamazo, CP Ayala Martínez, ...",A data-driven approach to improve the process of data-intensive API creation and evolution,2017,CAiSE-Forum-DC …,upcommons.upc.edu,https://upcommons.upc.edu/handle/2117/113036,"https://scholar.google.com/scholar?cites=64418478194801763&as_sdt=2005&sciodt=0,5&hl=en",22,25-01-21,,,,,,,,,5,1.25,2,3,4
15,"A Brito, L Xavier, A Hora, ...",APIDiff: Detecting API breaking changes,2018,2018 IEEE 25th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8330249/,"https://scholar.google.com/scholar?cites=2069184500354868852&as_sdt=2005&sciodt=0,5&hl=en",23,25-01-21,,,,,,,,,15,5,4,4,3
1,"H Kwon, J Ahn, S Choi, J Siewierski, ...",An Experience Report of the API Evolution and Maintenance for Software Platforms,2018,2018 IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8530070/,"https://scholar.google.com/scholar?cites=1117670512816142323&as_sdt=2005&sciodt=0,5&hl=en",24,25-01-21,,,,,,,,,1,0.33,0,5,3
54,"A Hora, MT Valente",apiwave: Keeping track of API popularity and migration,2015,2015 IEEE international conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7332478/,"https://scholar.google.com/scholar?cites=11850737127166235957&as_sdt=2005&sciodt=0,5&hl=en",25,25-01-21,,,,,,,,,54,9,27,2,6
9,"T Luo, J Wu, M Yang, S Zhao, Y Wu, Y Wang","MAD-API: Detection, correction and explanation of API misuses in distributed android applications",2018,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-94361-9_10,"https://scholar.google.com/scholar?cites=2809724367833667903&as_sdt=2005&sciodt=0,5&hl=en",26,25-01-21,,,,,,,,,9,3,2,6,3
22,"G Brito, A Hora, MT Valente, R Robbes",On the use of replacement messages in API deprecation: An empirical study,2018,Journal of Systems and Software,Elsevier,https://www.sciencedirect.com/science/article/pii/S016412121730300X,"https://scholar.google.com/scholar?cites=3581429220703968997&as_sdt=2005&sciodt=0,5&hl=en",27,25-01-21,,,,,,,,,22,7.33,6,4,3
27,"D He, L Li, L Wang, H Zheng, G Li, ...",Understanding and detecting evolution-induced compatibility issues in android apps,2018,2018 33rd IEEE/ACM …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9000001/,"https://scholar.google.com/scholar?cites=1836487266759448752&as_sdt=2005&sciodt=0,5&hl=en",28,25-01-21,,,,,,,,,27,9,5,6,3
3,"B Cossette, R Walker, R Cottrell",Using structural generalization to discover replacement functionality for API evolution,2014,,prism.ucalgary.ca,https://prism.ucalgary.ca/handle/1880/49996,"https://scholar.google.com/scholar?cites=12126580806146305011&as_sdt=2005&sciodt=0,5&hl=en",29,25-01-21,,,,,,,,,3,0.43,1,3,7
156,"W Wu, YG Guéhéneuc, G Antoniol, M Kim",Aura: a hybrid approach to identify framework evolution,2010,Proceedings of the 32nd …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1806799.1806848,"https://scholar.google.com/scholar?cites=17563082051897874042&as_sdt=2005&sciodt=0,5&hl=en",30,25-01-21,,,,,,,,,156,14.18,39,4,11
98,"BE Cossette, RJ Walker",Seeking the ground truth: a retroactive study on the evolution and migration of software libraries,2012,Proceedings of the ACM SIGSOFT 20th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2393596.2393661,"https://scholar.google.com/scholar?cites=10829204244649646887&as_sdt=2005&sciodt=0,5&hl=en",31,25-01-21,,,,,,,,,98,10.89,49,2,9
75,"YM Mileva, V Dallmeier, A Zeller",Mining API popularity,2010,International Academic and Industrial …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-15585-7_17,"https://scholar.google.com/scholar?cites=4012111195554363552&as_sdt=2005&sciodt=0,5&hl=en",32,25-01-21,,,,,,,,,75,6.82,25,3,11
3,SA Spoon,Anti-deprecation: Towards complete static checking for API evolution,2006,Second International Workshop on Library-Centric …,sms.cs.chalmers.se,http://sms.cs.chalmers.se/bibliography/proceedings/2006-LCSD.pdf#page=69,"https://scholar.google.com/scholar?cites=7267980110855638207&as_sdt=2005&sciodt=0,5&hl=en",33,25-01-21,PDF,,,,,,,,3,0.2,3,1,15
61,"L Xavier, A Brito, A Hora, ...",Historical and impact analysis of API breaking changes: A large-scale study,2017,2017 IEEE 24th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7884616/,"https://scholar.google.com/scholar?cites=3767474664275086791&as_sdt=2005&sciodt=0,5&hl=en",34,25-01-21,,,,,,,,,61,15.25,15,4,4
0,Z Tronícĕk,API Evolution with RefactoringNG,2010,2010 Second World Congress on Software …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5718396/,,35,25-01-21,,,,,,,,,0,0,0,1,11
0,W Wu,Framework API Evolution,2012,,ptidej.net,http://www.ptidej.net/seminars/2012/120127%20-%20All%20-%203%20minutes/120127%20-%20Research%20Interests%20-%20Wei%20Wu.pdf,,36,25-01-21,,,,,,,,,0,0,0,1,9
12,"M Polák, I Holubová",REST API management and evolution using MDA,2015,Proceedings of the Eighth International C …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2790798.2790820,"https://scholar.google.com/scholar?cites=9106108294597183315&as_sdt=2005&sciodt=0,5&hl=en",37,25-01-21,,,,,,,,,12,2,6,2,6
28,"W Wu, F Khomh, B Adams, YG Guéhéneuc, ...",An exploratory study of api changes and usages based on apache and eclipse ecosystems,2016,Empirical Software …,Springer,https://link.springer.com/article/10.1007/s10664-015-9411-7,"https://scholar.google.com/scholar?cites=16764999634815682157&as_sdt=2005&sciodt=0,5&hl=en",38,25-01-21,,,,,,,,,28,5.6,6,5,5
57,"J Dietrich, K Jezek, P Brada",Broken promises: An empirical study into evolution problems in java programs caused by library upgrades,2014,2014 Software Evolution Week …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6747226/,"https://scholar.google.com/scholar?cites=13066267016893364633&as_sdt=2005&sciodt=0,5&hl=en",39,25-01-21,,,,,,,,,57,8.14,19,3,7
1,SA Spoon,Fined-grained API evolution for method deprecation and anti-deprecation,2006,Proc. FOOL,foolwood07.cs.uchicago.edu,http://foolwood07.cs.uchicago.edu/program/spoon.pdf,"https://scholar.google.com/scholar?cites=4090748531139934907&as_sdt=2005&sciodt=0,5&hl=en",40,25-01-21,PDF,,,,,,,,1,0.07,1,1,15
84,"G Bavota, G Canfora, M Di Penta, ...",The evolution of project inter-dependencies in a software ecosystem: The case of apache,2013,2013 IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6676899/,"https://scholar.google.com/scholar?cites=8573588545574926526&as_sdt=2005&sciodt=0,5&hl=en",41,25-01-21,,,,,,,,,84,10.5,21,4,8
1,"AM Eilertsen, AH Bagge",Exploring api: Client co-evolution,2018,Proceedings of the 2nd International Workshop …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3194793.3194799,"https://scholar.google.com/scholar?cites=11996669909229671323&as_sdt=2005&sciodt=0,5&hl=en",42,25-01-21,,,,,,,,,1,0.33,1,2,3
43,"L Li, TF Bissyandé, H Wang, J Klein",Cid: Automating the detection of api-related compatibility issues in android apps,2018,Proceedings of the 27th ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3213846.3213857,"https://scholar.google.com/scholar?cites=15020770458441293422&as_sdt=2005&sciodt=0,5&hl=en",43,25-01-21,,,,,,,,,43,14.33,11,4,3
152,"R Robbes, M Lungu, D Röthlisberger",How do developers react to API deprecation? The case of a Smalltalk ecosystem,2012,Proceedings of the ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2393596.2393662,"https://scholar.google.com/scholar?cites=6228162866318312946&as_sdt=2005&sciodt=0,5&hl=en",44,25-01-21,,,,,,,,,152,16.89,51,3,9
74,"M Herrmannsdoerfer, D Ratiu, G Wachsmuth",Language Evolution in Practice: The History of GMF,2009,… Conference on Software …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-12107-4_3,"https://scholar.google.com/scholar?cites=11315306122509006259&as_sdt=2005&sciodt=0,5&hl=en",45,25-01-21,,,,,,,,,74,6.17,25,3,12
262,"M Linares-Vásquez, G Bavota, ...",Api change and fault proneness: A threat to the success of android apps,2013,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2491411.2491428,"https://scholar.google.com/scholar?cites=15892411317262020566&as_sdt=2005&sciodt=0,5&hl=en",46,25-01-21,,,,,,,,,262,32.75,87,3,8
0,C Vasquez,A Personal Agent-based Approach for API Evolution.,2018,DC@ ISWC,ceur-ws.org,http://ceur-ws.org/Vol-2181/paper-10.pdf,,47,25-01-21,PDF,,,,,,,,0,0,0,1,3
2,"B Gharaibeh, TN Nguyen, ...","Coping with API Evolution for Running, Mission-Critical Applications Using Virtual Execution Environment",2007,… Conference on Quality …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4385493/,"https://scholar.google.com/scholar?cites=10401664663443020589&as_sdt=2005&sciodt=0,5&hl=en",48,25-01-21,,,,,,,,,2,0.14,1,3,14
190,"HA Nguyen, TT Nguyen, G Wilson Jr, AT Nguyen, ...",A graph-based approach to API usage adaptation,2010,ACM Sigplan …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1932682.1869486,"https://scholar.google.com/scholar?cites=11106756532856466441&as_sdt=2005&sciodt=0,5&hl=en",49,25-01-21,,,,,,,,,190,17.27,38,5,11
9,"M Lamothe, W Shang, TH Chen",A4: Automatically assisting Android API migrations using code examples,2018,arXiv preprint arXiv:1812.04894,arxiv.org,https://arxiv.org/abs/1812.04894,"https://scholar.google.com/scholar?cites=9197889530973796906&as_sdt=2005&sciodt=0,5&hl=en",50,25-01-21,,,,,,,,,9,3,3,3,3
28,"AA Sawant, A Bacchelli",fine-GRAPE: fine-grained APi usage extractor–an approach and dataset to investigate API usage,2017,Empirical Software Engineering,Springer,https://link.springer.com/article/10.1007/s10664-016-9444-6,"https://scholar.google.com/scholar?cites=12850730855874072022&as_sdt=2005&sciodt=0,5&hl=en",51,25-01-21,HTML,,,,,,,,28,7,14,2,4
1,SA Spoon,Anti-deprecation: Towards complete static checking for api evolution (extended version),2006,,infoscience.epfl.ch,https://infoscience.epfl.ch/record/90768,"https://scholar.google.com/scholar?cites=12540340554905731187&as_sdt=2005&sciodt=0,5&hl=en",52,25-01-21,,,,,,,,,1,0.07,1,1,15
45,"J Zhou, RJ Walker",API deprecation: a retrospective analysis and detection method for code examples on the web,2016,Proceedings of the 2016 24th ACM SIGSOFT …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2950290.2950298,"https://scholar.google.com/scholar?cites=11775971828381964238&as_sdt=2005&sciodt=0,5&hl=en",53,25-01-21,,,,,,,,,45,9,23,2,5
83,"S Meng, X Wang, L Zhang, H Mei",A history-based matching approach to identification of framework evolution,2012,2012 34th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6227179/,"https://scholar.google.com/scholar?cites=14487846246886869405&as_sdt=2005&sciodt=0,5&hl=en",54,25-01-21,,,,,,,,,83,9.22,21,4,9
7,"A Macvean, L Church, J Daughtry, C Citro",API Usability at Scale.,2016,PPIG,ppig.org,https://www.ppig.org/files/2016-PPIG-27th-Macvean.pdf,"https://scholar.google.com/scholar?cites=1647639397970973929&as_sdt=2005&sciodt=0,5&hl=en",55,25-01-21,PDF,,,,,,,,7,1.4,2,4,5
6,D Spinellis,Documented Unix facilities over 48 years,2018,Proceedings of the 15th International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3196398.3196476,"https://scholar.google.com/scholar?cites=11064591298648259724&as_sdt=2005&sciodt=0,5&hl=en",56,25-01-21,,,,,,,,,6,2,6,1,3
73,"C De Roover, R Lämmel, E Pek",Multi-dimensional exploration of api usage,2013,2013 21st International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6613843/,"https://scholar.google.com/scholar?cites=13767972562208964347&as_sdt=2005&sciodt=0,5&hl=en",57,25-01-21,,,,,,,,,73,9.13,24,3,8
122,"C Bogart, C Kästner, J Herbsleb, F Thung",How to break an API: cost negotiation and community values in three software ecosystems,2016,Proceedings of the 2016 24th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2950290.2950325,"https://scholar.google.com/scholar?cites=5240709666500143777&as_sdt=2005&sciodt=0,5&hl=en",58,25-01-21,,,,,,,,,122,24.4,31,4,5
113,"LS Pinto, S Sinha, A Orso",Understanding myths and realities of test-suite evolution,2012,Proceedings of the ACM SIGSOFT 20th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2393596.2393634,"https://scholar.google.com/scholar?cites=10787696368688613625&as_sdt=2005&sciodt=0,5&hl=en",59,25-01-21,,,,,,,,,113,12.56,38,3,9
27,"D Bermbach, E Wittern",Benchmarking web api quality,2016,International Conference on Web Engineering,Springer,https://link.springer.com/chapter/10.1007/978-3-319-38791-8_11,"https://scholar.google.com/scholar?cites=12752976434004578298&as_sdt=2005&sciodt=0,5&hl=en",60,25-01-21,,,,,,,,,27,5.4,14,2,5
22,"A Decan, T Mens, ...",On the evolution of technical lag in the npm package dependency network,2018,2018 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8530047/,"https://scholar.google.com/scholar?cites=15559065277341679076&as_sdt=2005&sciodt=0,5&hl=en",61,25-01-21,,,,,,,,,22,7.33,7,3,3
266,"B Dagenais, MP Robillard",Recommending adaptive changes for framework evolution,2011,ACM Transactions on Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2000799.2000805,"https://scholar.google.com/scholar?cites=5851679750398993854&as_sdt=2005&sciodt=0,5&hl=en",62,25-01-21,,,,,,,,,266,26.6,133,2,10
11,"I Savga, M Rudolf, J Sliwerski, ...",API Changes-How FarWould You Go?,2007,11th European …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4145053/,"https://scholar.google.com/scholar?cites=632850391778003888&as_sdt=2005&sciodt=0,5&hl=en",63,25-01-21,,,,,,,,,11,0.79,3,4,14
24,"JM Daughtry, U Farooq, BA Myers, J Stylos",API usability: report on special interest group at CHI,2009,ACM SIGSOFT Software …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1543405.1543429,"https://scholar.google.com/scholar?cites=6355075512998222617&as_sdt=2005&sciodt=0,5&hl=en",64,25-01-21,,,,,,,,,24,2,6,4,12
0,W Wu,Modeling Framework API Evolution as a Multi-objective Optimization Problem,2011,2011 IEEE 19th International Conference on Program …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5970177/,,65,25-01-21,,,,,,,,,0,0,0,1,10
11,"A Hora, D Silva, MT Valente, R Robbes",Assessing the threat of untracked changes in software evolution,2018,Proceedings of the 40th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3180155.3180212,"https://scholar.google.com/scholar?cites=14621166645934282308&as_sdt=2005&sciodt=0,5&hl=en",66,25-01-21,,,,,,,,,11,3.67,3,4,3
0,"Y LI, S LIU, L ZHAO, G PAN",Self-Adapted RESTful Web API evolution model,2017,Computer Integrated Manufacturing …,en.cnki.com.cn,https://en.cnki.com.cn/Article_en/CJFDTotal-JSJJ201705013.htm,,67,25-01-21,,,,,,,,,0,0,0,4,4
8,"R Štrobl, Z Troníček",Migration from deprecated api in java,2013,Proceedings of the 2013 companion publication …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2508075.2508093,"https://scholar.google.com/scholar?cites=11936998643430589563&as_sdt=2005&sciodt=0,5&hl=en",68,25-01-21,,,,,,,,,8,1,4,2,8
19,"D Ko, K Ma, S Park, S Kim, D Kim, ...",Api document quality for resolving deprecated apis,2014,2014 21st Asia-Pacific …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7091210/,"https://scholar.google.com/scholar?cites=16914937366147170902&as_sdt=2005&sciodt=0,5&hl=en",69,25-01-21,,,,,,,,,19,2.71,3,6,7
266,"D Dig, R Johnson",How do APIs evolve? A story of refactoring,2006,Journal of software maintenance and …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.328,"https://scholar.google.com/scholar?cites=116861401958976308&as_sdt=2005&sciodt=0,5&hl=en",70,25-01-21,,,,,,,,,266,17.73,133,2,15
0,K Owen,On the Impact of Android API Evolution on Education Materials,2017,,digitalcommons.calpoly.edu,http://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=2995&context=theses,,71,25-01-21,PDF,,,,,,,,0,0,0,1,4
15,J des Rivières,Eclipse APIs: Lines in the sand,2004,EclipseCon Retrieved March,eclipse.org,https://eclipse.org/eclipse/development/apis/Eclipse-APIs-Lines-in-the-Sand.pdf,"https://scholar.google.com/scholar?cites=5079612511298293537&as_sdt=2005&sciodt=0,5&hl=en",72,25-01-21,PDF,,,,,,,,15,0.88,15,1,17
35,"G Brito, A Hora, MT Valente, ...",Do developers deprecate APIs with replacement messages? A large-scale analysis on Java systems,2016,2016 IEEE 23rd …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7476657/,"https://scholar.google.com/scholar?cites=6235931947556465112&as_sdt=2005&sciodt=0,5&hl=en",73,25-01-21,,,,,,,,,35,7,9,4,5
143,"H Zhong, S Thummalapenta, T Xie, L Zhang, ...",Mining API mapping for language migration,2010,Proceedings of the 32nd …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1806799.1806831,"https://scholar.google.com/scholar?cites=15425153603474011032&as_sdt=2005&sciodt=0,5&hl=en",74,25-01-21,,,,,,,,,143,13,29,5,11
7,M Biehl,RESTful API Design,2016,,books.google.com,https://books.google.com/books?hl=en&lr=&id=DYC3DwAAQBAJ&oi=fnd&pg=PA19&dq=%22api+evolution%22&ots=xm0ccSVFhm&sig=CHTAYRq7wo4WygJBuuZZlO0F0QA,"https://scholar.google.com/scholar?cites=6079203955625335705&as_sdt=2005&sciodt=0,5&hl=en",75,25-01-21,BOOK,,,,,,,,7,1.4,7,1,5
14,"C Shen, Y Huang, Y Yan","An analysis of multifractal characteristics of API time series in Nanjing, China",2016,Physica A: Statistical Mechanics and its …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378437116001084,"https://scholar.google.com/scholar?cites=17953342875756722156&as_sdt=2005&sciodt=0,5&hl=en",76,25-01-21,,,,,,,,,14,2.8,5,3,5
13,"M Lamothe, W Shang",Exploring the use of automated api migrating techniques in practice: An experience report on android,2018,… of the 15th International Conference on Mining …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3196398.3196420,"https://scholar.google.com/scholar?cites=3392594699519909134&as_sdt=2005&sciodt=0,5&hl=en",77,25-01-21,,,,,,,,,13,4.33,7,2,3
4,"M Polák, I Holubová",Advanced REST API management and evolution using MDA,2015,Proceedings of the 3rd International Workshop on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2881631.2881635,"https://scholar.google.com/scholar?cites=13604069199917828042&as_sdt=2005&sciodt=0,5&hl=en",78,25-01-21,,,,,,,,,4,0.67,2,2,6
10,"J Aué, M Aniche, M Lobbezoo, ...",An Exploratory Study on Faults inWeb API Integration in a Large-Scale Payment Company,2018,2018 IEEE/ACM 40th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8449231/,"https://scholar.google.com/scholar?cites=8940028985870288232&as_sdt=2005&sciodt=0,5&hl=en",79,25-01-21,,,,,,,,,10,3.33,3,4,3
9,M Naftalin,Mastering Lambdas: Java Programming in a Multicore World,2014,,dl.acm.org,https://dl.acm.org/doi/abs/10.5555/2829185,"https://scholar.google.com/scholar?cites=2547603178912648933&as_sdt=2005&sciodt=0,5&hl=en",80,25-01-21,CITATION,,,,,,,,9,1.29,9,1,7
12,T Freese,Refactoring-aware version control,2006,Proceedings of the 28th international conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1134285.1134461,"https://scholar.google.com/scholar?cites=3085483490899528687&as_sdt=2005&sciodt=0,5&hl=en",81,25-01-21,,,,,,,,,12,0.8,12,1,15
